"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Mar-2025","EQ","1,215.00","1,222.00","1,175.00","1,210.40","1,176.10","1,181.20","1,199.49","2,989.00","1,047.45","32,53,652","3,90,27,12,014.80","1,04,188"
"25-Mar-2025","EQ","1,248.00","1,253.60","1,204.00","1,235.55","1,208.50","1,210.40","1,219.84","2,989.00","1,047.45","47,19,219","5,75,66,68,946.70","1,45,645"
"24-Mar-2025","EQ","1,236.00","1,249.50","1,228.30","1,216.30","1,237.00","1,235.55","1,238.81","2,989.00","1,047.45","49,63,411","6,14,87,18,331.20","1,43,663"
"21-Mar-2025","EQ","1,177.70","1,220.10","1,169.00","1,170.30","1,219.50","1,216.30","1,207.17","2,989.00","1,047.45","82,70,787","9,98,42,11,690.40","1,87,156"
"20-Mar-2025","EQ","1,196.00","1,202.65","1,152.00","1,173.25","1,169.40","1,170.30","1,173.90","2,989.00","1,047.45","58,18,751","6,83,06,53,044.50","1,60,367"
"19-Mar-2025","EQ","1,131.00","1,179.95","1,129.05","1,119.75","1,172.95","1,173.25","1,155.28","2,989.00","1,047.45","76,99,060","8,89,45,77,430.70","2,49,813"
"18-Mar-2025","EQ","1,062.00","1,125.00","1,062.00","1,058.20","1,124.00","1,119.75","1,104.42","2,989.00","1,047.45","73,04,235","8,06,69,74,501.10","2,10,694"
"17-Mar-2025","EQ","1,071.00","1,074.45","1,047.45","1,071.00","1,059.00","1,058.20","1,058.42","2,989.00","1,047.45","54,64,185","5,78,33,84,063.55","1,84,905"
"13-Mar-2025","EQ","1,100.00","1,101.25","1,070.00","1,089.85","1,070.40","1,071.00","1,079.30","2,989.00","1,070.00","31,98,756","3,45,24,18,879.65","1,28,135"
"12-Mar-2025","EQ","1,111.80","1,118.45","1,080.00","1,104.45","1,090.80","1,089.85","1,093.42","2,989.00","1,072.20","35,39,335","3,86,99,74,860.30","1,33,144"
"11-Mar-2025","EQ","1,088.00","1,113.90","1,072.20","1,107.30","1,112.55","1,104.45","1,092.92","2,989.00","1,072.20","37,79,264","4,13,04,18,677.00","1,41,731"
"10-Mar-2025","EQ","1,150.05","1,167.55","1,102.00","1,152.90","1,105.45","1,107.30","1,127.07","2,989.00","1,078.00","29,36,448","3,30,95,68,013.60","1,19,940"
"07-Mar-2025","EQ","1,179.00","1,184.80","1,147.95","1,175.90","1,152.80","1,152.90","1,166.02","2,989.00","1,078.00","38,11,591","4,44,43,78,450.20","1,61,179"
"06-Mar-2025","EQ","1,158.00","1,185.55","1,142.45","1,139.00","1,173.00","1,175.90","1,168.60","2,989.00","1,078.00","45,64,238","5,33,37,75,318.45","1,47,043"
"05-Mar-2025","EQ","1,116.25","1,144.00","1,106.25","1,116.25","1,144.00","1,139.00","1,125.30","2,989.00","1,078.00","38,21,041","4,29,98,17,795.60","1,33,140"
"04-Mar-2025","EQ","1,083.90","1,123.80","1,080.00","1,104.20","1,117.00","1,116.25","1,111.40","2,989.00","1,078.00","31,20,446","3,46,80,77,959.85","1,32,169"
"03-Mar-2025","EQ","1,115.00","1,126.95","1,078.00","1,107.90","1,102.00","1,104.20","1,102.65","2,989.00","1,078.00","47,73,224","5,26,31,75,495.80","2,03,970"
"28-Feb-2025","EQ","1,135.00","1,142.95","1,103.05","1,153.75","1,109.00","1,107.90","1,117.85","2,989.00","1,103.05","50,75,016","5,67,31,08,790.45","2,28,940"
"27-Feb-2025","EQ","1,203.00","1,208.70","1,150.25","1,201.25","1,152.00","1,153.75","1,173.05","2,989.00","1,150.25","34,85,153","4,08,82,49,400.00","1,82,546"
"25-Feb-2025","EQ","1,211.00","1,221.45","1,196.10","1,213.95","1,198.85","1,201.25","1,207.13","2,989.00","1,151.05","25,75,233","3,10,86,32,541.10","1,14,125"
"24-Feb-2025","EQ","1,240.00","1,244.85","1,210.55","1,255.65","1,211.75","1,213.95","1,225.28","2,989.00","1,151.05","33,79,288","4,14,05,85,892.00","1,45,637"
"21-Feb-2025","EQ","1,280.00","1,294.00","1,250.00","1,249.25","1,250.10","1,255.65","1,268.58","2,989.00","1,151.05","78,09,931","9,90,75,09,869.55","2,57,751"
"20-Feb-2025","EQ","1,204.70","1,256.30","1,196.15","1,208.25","1,250.00","1,249.25","1,236.59","2,989.00","1,151.05","47,37,475","5,85,82,91,730.05","1,59,047"
"19-Feb-2025","EQ","1,177.70","1,224.25","1,151.05","1,184.55","1,208.00","1,208.25","1,206.61","2,989.00","1,151.05","46,21,419","5,57,62,68,493.00","1,89,318"
"18-Feb-2025","EQ","1,207.40","1,208.05","1,172.00","1,206.95","1,179.90","1,184.55","1,183.98","2,989.00","1,165.15","24,79,554","2,93,57,43,161.95","1,29,796"
"17-Feb-2025","EQ","1,184.90","1,221.00","1,165.15","1,205.30","1,206.50","1,206.95","1,202.17","2,989.00","1,165.15","28,45,961","3,42,13,23,386.55","1,52,101"
"14-Feb-2025","EQ","1,235.00","1,246.65","1,193.15","1,227.00","1,202.75","1,205.30","1,212.75","2,989.00","1,168.95","29,51,830","3,57,98,21,967.40","1,45,119"
"13-Feb-2025","EQ","1,239.00","1,263.70","1,225.00","1,235.70","1,226.60","1,227.00","1,244.21","2,989.00","1,168.95","25,58,775","3,18,36,59,341.45","1,19,172"
"12-Feb-2025","EQ","1,220.00","1,258.00","1,168.95","1,239.90","1,235.00","1,235.70","1,215.80","2,989.00","1,168.95","64,78,169","7,87,61,28,670.35","2,76,038"
"11-Feb-2025","EQ","1,298.00","1,298.70","1,230.30","1,297.60","1,243.00","1,239.90","1,248.21","2,989.00","1,230.30","36,86,050","4,60,09,71,350.25","1,89,886"
"10-Feb-2025","EQ","1,337.00","1,339.00","1,290.25","1,336.20","1,299.00","1,297.60","1,304.23","2,989.00","1,238.50","20,62,278","2,68,96,94,406.15","1,11,814"
"07-Feb-2025","EQ","1,334.90","1,355.95","1,322.00","1,328.05","1,335.00","1,336.20","1,338.80","2,989.00","1,238.50","27,67,119","3,70,46,19,471.40","1,35,148"
"06-Feb-2025","EQ","1,360.00","1,365.00","1,322.15","1,348.85","1,330.00","1,328.05","1,338.63","2,989.00","1,238.50","27,19,181","3,63,99,77,860.70","1,20,566"
"05-Feb-2025","EQ","1,307.00","1,356.00","1,304.95","1,290.50","1,351.75","1,348.85","1,343.51","2,989.00","1,238.50","51,32,426","6,89,54,76,453.65","2,13,552"
"04-Feb-2025","EQ","1,266.00","1,293.95","1,258.10","1,247.05","1,292.90","1,290.50","1,275.76","2,989.00","1,238.50","28,94,579","3,69,27,97,305.10","1,30,131"
"03-Feb-2025","EQ","1,300.00","1,302.75","1,238.50","1,306.90","1,249.00","1,247.05","1,259.35","2,989.00","1,238.50","38,24,554","4,81,64,61,755.85","2,13,270"
"01-Feb-2025","EQ","1,318.95","1,347.00","1,264.25","1,309.70","1,310.00","1,306.90","1,313.25","2,989.00","1,242.50","40,99,037","5,38,30,45,825.40","1,68,329"
"31-Jan-2025","EQ","1,285.00","1,315.90","1,271.00","1,270.80","1,313.00","1,309.70","1,299.33","2,989.00","1,242.50","36,21,641","4,70,56,95,064.85","1,64,874"
"30-Jan-2025","EQ","1,304.70","1,319.10","1,259.50","1,291.45","1,272.00","1,270.80","1,288.18","2,989.00","1,242.50","44,18,841","5,69,22,48,949.60","1,94,463"
"29-Jan-2025","EQ","1,270.00","1,300.00","1,257.65","1,264.60","1,292.00","1,291.45","1,282.91","2,989.00","1,242.50","55,27,228","7,09,09,44,825.65","2,33,097"
"28-Jan-2025","EQ","1,339.00","1,341.00","1,242.50","1,344.05","1,263.50","1,264.60","1,272.79","2,989.00","1,242.50","1,14,38,810","14,55,92,28,323.75","4,94,665"
"27-Jan-2025","EQ","1,400.00","1,420.20","1,323.00","1,500.25","1,342.90","1,344.05","1,365.86","2,989.00","1,323.00","1,12,69,999","15,39,32,69,458.35","4,29,824"
"24-Jan-2025","EQ","1,525.00","1,542.00","1,491.85","1,516.15","1,503.60","1,500.25","1,513.68","2,989.00","1,344.60","22,04,447","3,33,68,29,281.85","1,12,651"
"23-Jan-2025","EQ","1,503.85","1,528.70","1,485.45","1,504.70","1,515.75","1,516.15","1,513.07","2,989.00","1,344.60","20,36,494","3,08,13,53,378.10","1,13,748"
"22-Jan-2025","EQ","1,526.00","1,526.00","1,474.05","1,527.55","1,504.00","1,504.70","1,494.76","2,989.00","1,344.60","29,87,026","4,46,48,83,338.20","1,68,960"
"21-Jan-2025","EQ","1,600.05","1,606.00","1,522.00","1,598.40","1,528.15","1,527.55","1,543.28","2,989.00","1,344.60","35,91,072","5,54,20,35,465.95","1,88,269"
"20-Jan-2025","EQ","1,607.70","1,619.35","1,591.30","1,597.90","1,594.00","1,598.40","1,601.19","2,989.00","1,344.60","15,07,671","2,41,40,68,608.50","76,488"
"17-Jan-2025","EQ","1,606.95","1,616.35","1,587.10","1,603.25","1,595.50","1,597.90","1,599.59","2,989.00","1,344.60","17,38,737","2,78,12,58,372.15","91,025"
"16-Jan-2025","EQ","1,631.00","1,633.80","1,590.25","1,602.90","1,604.00","1,603.25","1,611.06","2,989.00","1,344.60","28,52,472","4,59,55,00,677.30","1,40,320"
"15-Jan-2025","EQ","1,586.00","1,642.25","1,569.10","1,572.50","1,602.80","1,602.90","1,607.85","2,989.00","1,344.60","38,65,884","6,21,57,80,479.20","1,89,301"
"14-Jan-2025","EQ","1,544.00","1,588.00","1,527.70","1,529.25","1,580.00","1,572.50","1,559.64","2,989.00","1,344.60","26,93,590","4,20,10,20,912.40","1,29,609"
"13-Jan-2025","EQ","1,574.85","1,598.00","1,516.75","1,594.45","1,527.00","1,529.25","1,556.80","2,989.00","1,344.60","34,21,640","5,32,68,03,337.85","1,92,338"
"10-Jan-2025","EQ","1,671.65","1,687.30","1,590.00","1,673.95","1,591.95","1,594.45","1,628.33","2,989.00","1,344.60","32,22,381","5,24,71,13,000.00","1,94,651"
"09-Jan-2025","EQ","1,718.85","1,723.50","1,671.00","1,722.40","1,674.00","1,673.95","1,694.91","2,989.00","1,344.60","17,57,818","2,97,93,44,939.05","94,692"
"08-Jan-2025","EQ","1,760.40","1,760.60","1,698.00","1,758.75","1,719.00","1,722.40","1,716.68","2,989.00","1,344.60","26,95,329","4,62,70,21,461.55","1,25,396"
"07-Jan-2025","EQ","1,732.00","1,772.00","1,726.65","1,731.25","1,755.00","1,758.75","1,750.81","2,989.00","1,344.60","23,61,921","4,13,52,74,979.80","1,05,831"
"06-Jan-2025","EQ","1,807.40","1,816.90","1,723.00","1,805.35","1,731.35","1,731.25","1,755.86","2,989.00","1,344.60","25,47,576","4,47,31,83,808.60","1,34,030"
"03-Jan-2025","EQ","1,810.00","1,828.50","1,800.05","1,804.85","1,800.50","1,805.35","1,813.57","2,989.00","1,344.60","19,32,053","3,50,39,05,037.25","75,641"
"02-Jan-2025","EQ","1,818.00","1,818.70","1,775.05","1,808.65","1,810.05","1,804.85","1,793.36","2,989.00","1,344.60","20,65,202","3,70,36,47,084.60","84,472"
"01-Jan-2025","EQ","1,760.40","1,822.00","1,752.05","1,758.65","1,813.00","1,808.65","1,800.56","2,989.00","1,344.60","28,31,813","5,09,88,55,916.25","1,19,713"
"31-Dec-2024","EQ","1,744.05","1,766.45","1,720.35","1,748.95","1,760.40","1,758.65","1,745.26","2,989.00","1,344.60","17,19,924","3,00,17,08,343.70","90,867"
"30-Dec-2024","EQ","1,779.00","1,794.80","1,740.00","1,777.55","1,745.10","1,748.95","1,764.15","2,989.00","1,344.60","22,77,156","4,01,72,54,797.60","1,14,393"
"27-Dec-2024","EQ","1,840.00","1,840.00","1,762.55","1,806.65","1,779.10","1,777.55","1,784.61","2,989.00","1,344.60","21,80,027","3,89,04,95,000.15","1,05,746"
"26-Dec-2024","EQ","1,819.00","1,822.85","1,776.55","1,815.50","1,805.05","1,806.65","1,797.78","2,989.00","1,344.60","20,00,656","3,59,67,42,106.40","94,943"
"24-Dec-2024","EQ","1,822.00","1,836.90","1,791.55","1,818.60","1,813.00","1,815.50","1,817.43","2,989.00","1,344.60","18,72,798","3,40,36,87,977.55","88,480"
"23-Dec-2024","EQ","1,878.00","1,888.00","1,814.00","1,860.75","1,815.80","1,818.60","1,837.57","2,989.00","1,344.60","28,38,705","5,21,63,07,233.20","1,45,715"
"20-Dec-2024","EQ","1,962.00","1,965.85","1,851.60","1,956.45","1,863.50","1,860.75","1,901.09","2,989.00","1,344.60","32,45,637","6,17,02,54,686.45","1,58,971"
"19-Dec-2024","EQ","1,902.00","1,965.90","1,897.00","1,948.95","1,956.00","1,956.45","1,942.25","2,989.00","1,344.60","25,79,536","5,01,01,10,548.20","1,01,579"
"18-Dec-2024","EQ","1,970.00","1,973.60","1,917.55","1,964.05","1,949.00","1,948.95","1,948.21","2,989.00","1,344.60","26,53,745","5,17,00,55,922.75","1,18,265"
"17-Dec-2024","EQ","1,954.85","1,989.80","1,947.70","1,957.95","1,964.00","1,964.05","1,969.99","2,989.00","1,344.60","29,00,596","5,71,41,50,878.60","1,32,646"
"16-Dec-2024","EQ","1,948.60","1,980.00","1,945.30","1,943.50","1,953.00","1,957.95","1,962.74","2,989.00","1,344.60","32,39,135","6,35,75,75,856.65","1,31,345"
"13-Dec-2024","EQ","1,940.00","1,951.75","1,905.00","1,948.00","1,940.00","1,943.50","1,929.38","2,989.00","1,344.60","33,41,528","6,44,70,71,019.85","1,24,333"
"12-Dec-2024","EQ","1,933.80","1,962.20","1,926.35","1,930.35","1,946.00","1,948.00","1,946.99","2,989.00","1,344.60","34,45,419","6,70,81,99,615.05","1,26,456"
"11-Dec-2024","EQ","1,912.00","1,935.30","1,897.25","1,908.90","1,932.50","1,930.35","1,918.46","2,989.00","1,344.60","28,01,940","5,37,54,20,809.85","93,637"
"10-Dec-2024","EQ","1,907.00","1,915.35","1,865.95","1,904.95","1,904.50","1,908.90","1,890.46","2,989.00","1,344.60","35,34,180","6,68,12,15,211.15","1,38,713"
"09-Dec-2024","EQ","1,875.00","1,929.40","1,859.70","1,883.80","1,904.45","1,904.95","1,907.03","2,989.00","1,344.60","56,24,475","10,72,60,25,465.60","1,94,795"
